Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Decade,Primary_Genre,Rating_Band
Jasoos 999,1983,129,Action,,,Padmapriya,Seema Kapoor,Ceylone Mani,Vajru Mani,1980,Action,
Jasoos Arjun,2019,129,Animation,,,Unknown,Unknown,Unknown,Unknown,2010,Animation,
Jasoos Ladki,1973,129,Thriller,,,Krishna Ghattamaneni,Azaad Irani,Jyothi Lakshmi,Vijayalalitha,1970,Thriller,
Jattu Engineer,2017,139,Comedy,5.8,3336,Honeypreet Insan,Gurmeet Ram Rahim Singh,Muntazir Ahmad,Amardeep Insan,2010,Comedy,Average (4–6)
Jawaab,1985,129,"Romance, Thriller",6.7,30,Ravi Tandon,Vikas Anand,Raj Babbar,Raj Bharti,1980,Romance,Good (6–8)
Jawaani,1984,160,"Romance, Action, Drama",5.6,19,Ramesh Behl,Karan Shah,Neelam Kothari,Moushumi Chatterjee,1980,Romance,Average (4–6)
Jawaani Jaaneman,2020,119,"Comedy, Drama",6.6,6371,Nitin Kakkar,Saif Ali Khan,Alaya F,Tabu,2020,Comedy,Good (6–8)
Jawaani Ki Khushbu,2001,129,Thriller,,,Pratap Chandra,Yogapriya,Unknown,Unknown,2000,Thriller,
Jawaani Mein Barsaat,2003,129,Thriller,,,Unknown,Unknown,Unknown,Unknown,2000,Thriller,
Jawab,1955,129,"Comedy, Crime, Drama",4.1,8,Ismail Memon,Geeta Bali,Nasir Khan,Johnny Walker,1950,Comedy,Average (4–6)
Jawab Ayega,1968,82,Family,6.0,5,Ismat Chughtai,Shaheed Latif,Yogesh Bali,Meena Rai,1960,Family,Average (4–6)
Jawab Hum Denge,1987,135,Action,5.6,37,Vijay Reddy,Jackie Shroff,Sridevi,Shatrughan Sinha,1980,Action,Average (4–6)
Jawahar,1960,129,Drama,,,Unknown,Unknown,Unknown,Unknown,1960,Drama,
Jawaharlal Nehru,1982,129,Documentary,,,Shyam Benegal,Jawaharlal Nehru,Unknown,Unknown,1980,Documentary,
Jawahire Hind,1937,129,Unknown,,,Tara,Unknown,Unknown,Unknown,1930,Unknown,
Jawalaa Dahej Ki,1982,129,Unknown,,,Chaman Nillay,Shoma Anand,Arun Govil,Sonia Sahni,1980,Unknown,
Jawan Dilon Ki Rani,1991,129,Thriller,,,P. Chandrakumar,Unknown,Unknown,Unknown,1990,Thriller,
Jawan Kanya,2005,129,Thriller,,,Unknown,Unknown,Unknown,Unknown,2000,Thriller,
Jawan Ki Pukar,1942,140,Unknown,,,Dinshaw Bilimoria,Dinshaw Bilimoria,Harish,Kalyani,1940,Unknown,
Jawan Mard,1987,129,Action,,,Hameed Alam,Sonika Gill,Ayesha Jalil,Jafer Ali Khan,1980,Action,
Jawan Muhabat,1971,129,"Drama, Romance",6.9,29,Bhappi Sonie,Shammi Kapoor,Asha Parekh,Balraj Sahni,1970,Drama,Good (6–8)
Jawani,1942,129,Unknown,,,Wajahat Mirza,Husn Banu,Sankatha,Kayamali,1940,Unknown,
Jawani Badi Diwani,1991,129,Romance,,,Unknown,Unknown,Unknown,Unknown,1990,Romance,
Jawani Diwani,1934,129,Unknown,,,Shanti Dave,Ghaznavi,Rafiq Ghaznavi,Zohra,1930,Unknown,
Jawani Diwani: A Youthful Joyride,2006,111,"Comedy, Drama, Romance",2.9,464,Manish Sharma,Emraan Hashmi,Celina Jaitly,Hrishitaa Bhatt,2000,Comedy,Poor (<4)
Jawani Janeman,1992,129,Romance,,,Gajendra Chauhan,Viju Khote,Harish Magon,Kirit Shah,1990,Romance,
Jawani Ka Dushman,1988,112,Action,,,Bhanuchander,Silk Smitha,Unknown,Unknown,1980,Action,
Jawani Ka Khel,2003,129,Thriller,,,Heera,Mariya,Sindhu,Unknown,2000,Thriller,
Jawani Ka Khoon,1989,129,Thriller,,,Kapil Dev,Jagathi Sreekumar,Unknown,Unknown,1980,Thriller,
Jawani Ka Rang,1941,129,Unknown,,,Shakuntala Paranjpye,Unknown,Unknown,Unknown,1940,Unknown,
Jawani Ka Rog,1988,129,Thriller,,,Unknown,Unknown,Unknown,Unknown,1980,Thriller,
Jawani Ke Gunah,1989,120,Drama,4.6,8,S.R. Pratap,Rakesh Bedi,Sahila Chaddha,Tina Ghai,1980,Drama,Average (4–6)
Jawani Ke Jalwe,1987,97,Thriller,,,Abhilasha,Pratap Chandra,Unknown,Unknown,1980,Thriller,
Jawani Ke Sapne,1992,129,Thriller,,,Harish,Uma Maheshwari,Unknown,Unknown,1990,Thriller,
Jawani Khilona Hain,2003,129,Thriller,,,Unknown,Unknown,Unknown,Unknown,2000,Thriller,
Jawani Ki Aag,1951,129,Drama,,,Harnam Singh Rawail,Ramola,Unknown,Unknown,1950,Drama,
Jawani Ki Bhool,1981,129,Romance,,,Jayamalini,Vikram Makandar,Sarathi,Unknown,1980,Romance,
Jawani Ki Chubhan,2005,129,Thriller,,,Unknown,Unknown,Unknown,Unknown,2000,Thriller,
Jawani Ki Ghabrahat,1991,129,Thriller,,,Unknown,Unknown,Unknown,Unknown,1990,Thriller,
Jawani Ki Hawa,1959,143,Drama,5.0,7,M. Sadiq,Pradeep Kumar,Vyjayanthimala,Purnima,1950,Drama,Average (4–6)
Jawani Ki Jalan,1990,102,Thriller,,,Babu Antony,Silk Smitha,Unknown,Unknown,1990,Thriller,
Jawani Ki Kahani,1986,129,Drama,6.2,6,K.R. Rangan,Abhilasha,Vijay Arora,Ramesh Deo,1980,Drama,Good (6–8)
Jawani Ki Khusboo,1994,129,Thriller,,,Harish,Uma Maheshwari,Shakeela,Unknown,1990,Thriller,
Jawani Ki Lahren,1988,129,"Drama, Romance",,,Sanil Khosla,Neeraj Asrani,Hema Gupta,Sanil Khosla,1980,Drama,
Jawani Ki Pyas,1987,129,Thriller,,,N. Sankaran Nair,Anuradha,Janardanan,Jaya Mala,1980,Thriller,
Jawani Ki Qurbani,1989,77,Thriller,,,Kapil Dev,Kapil Karzan,Unknown,Unknown,1980,Thriller,
Jawani Ki Raat,1968,129,Romance,,,Unknown,Unknown,Unknown,Unknown,1960,Romance,
Jawani Ki Reet,1939,144,Unknown,,,Hemchandra Chunder,Kanan Devi,Chhabirani,A.H. Shore,1930,Unknown,
Jawani Solah Saal Ki,1989,129,Thriller,,,Jayalalitha,Uma Maheshwari,Unknown,Unknown,1980,Thriller,
Jawani Zindabad,1990,163,"Drama, Romance",5.6,652,Arun Bhatt,Aamir Khan,Farha Naaz,Javed Jaffrey,1990,Drama,Average (4–6)
Jay baba pashupatinath,1996,129,Drama,,,Satish Kumar,Shyam Awasthi,Rajdev Jamudhale,Sudhanshu Joshi,1990,Drama,
Jayantabhai Ki Luv Story,2013,130,"Action, Comedy, Romance",5.3,1270,Vinnil Markan,Vivek Oberoi,Neha Sharma,Rahul Singh,2010,Action,Average (4–6)
Jayasimha,1955,129,Drama,7.5,15,Yoganand,N.T. Rama Rao,Anjali Devi,S.V. Ranga Rao,1950,Drama,Good (6–8)
Jayeshbhai Jordaar,2021,129,Comedy,,,Divyang Thakkar,Ranveer Singh,Boman Irani,Ratna Pathak Shah,2020,Comedy,
Jaykara,2020,129,Drama,,,Prince Khan,Kiran Jain,Laughy Paul,Unknown,2020,Drama,
Jayshree,1956,129,"Drama, History",,,Harsukh Jagneshwar Bhatt,Bhalchandra Shukla,Jayant,Jeevan,1950,Drama,
Jayveer Panghaal,2015,129,Romance,,,Srinivaas Anjanappa,Kavya Kiran,Deepak Kumar,Muzahid Khan,2010,Romance,
Jazbaa,2015,119,"Action, Crime, Drama",5.8,3375,Sanjay Gupta,Aishwarya Rai Bachchan,Irrfan Khan,Shabana Azmi,2010,Action,Average (4–6)
Jazbaat,1980,124,Drama,4.2,26,Suraj Prakash,Raj Babbar,Zarina Wahab,Shashi Puri,1980,Drama,Average (4–6)
Jeb Katari,1997,129,Action,,,Harinam Singh,Riyaz Khan,Raza Murad,Sonia Thakur,1990,Action,
Jeb Tumhari Haath Hamare,1978,129,Comedy,,,Unknown,Unknown,Unknown,Unknown,1970,Comedy,
Jee Chahta Hai,2015,107,Romance,,,Ganesh Mehta,Tarun Anand,Priyanka Burman,Sachin Sharma,2010,Romance,
Jee Lene Do Ek Pal,2016,129,Drama,,,S. Rai,Abhinav Kumar,Surajkshah,Zarina Wahab,2010,Drama,
Jeeja Sali,1995,129,Comedy,,,Ashwani Kumar,Urmila Bhatt,Ratna Bhooshan,Meera Madhuri,1990,Comedy,
Jeena Hai Toh Thok Daal,2012,123,"Action, Crime, Drama",5.5,31,Manish Vatssalya,Ravi Kishan,Manish Vatssalya,Yashpal Sharma,2010,Action,Average (4–6)
Jeena Hain Pyar Mein,1983,129,Romance,,,Krishna Naidu,Shoma Anand,Anu Dhawan,Kamal Mehra,1980,Romance,
Jeena Isi Ka Naam Hai,1982,129,Romance,,,Rashid Ahmed,Shibani Bhattacharya,Siddharth Kak,Goga Kapoor,1980,Romance,
Jeena Marna Tere Sang,1992,150,"Action, Romance",4.8,70,Vijay Reddy,Sanjay Dutt,Raveena Tandon,Javed Jaffrey,1990,Action,Average (4–6)
Jeena Nahin Bin Tere,1995,129,Romance,6.1,10,Lekh Tandon,Beena Banerjee,Prasenjit Chatterjee,Shafi Inamdar,1990,Romance,Good (6–8)
Jeena Sirf Merre Liye,2002,137,"Comedy, Romance",4.4,728,Talat Jani,Kareena Kapoor,Tusshar Kapoor,Mallika Sherawat,2000,Comedy,Average (4–6)
Jeena Teri Gali Mein,2013,129,"Action, Comedy, Drama",,,Rajkumar R. Pandey,Awdhesh Mishra,Pradeep Pandey,Sanjay Pandey,2010,Action,
Jeena to Hai,2008,129,Action,,,Milind Swamy,Ravi Chettiah,Needhi Gill,Shahbaaz Khan,2000,Action,
Jeena Yahan,1979,93,Drama,6.7,18,Basu Chatterjee,Shekhar Kapur,Shabana Azmi,Dina Pathak,1970,Drama,Good (6–8)
Jeene Do,1990,125,"Action, Drama",4.6,47,Rajesh Seth,Rajesh Sethi,Sanjay Dutt,Jackie Shroff,1990,Action,Average (4–6)
Jeene Ki Arzoo,1981,132,Drama,5.9,22,Rajashekhar,Mithun Chakraborty,Rati Agnihotri,Chandrashekhar,1980,Drama,Average (4–6)
Jeene Ki Raah,1969,152,"Drama, Romance",6.9,82,L.V. Prasad,Jeetendra,Tanuja,Anjali Kadam,1960,Drama,Good (6–8)
Jeene Ki Sazaa,1991,129,Drama,,,Nazir Herekar,Abhi Bhattacharya,Sudha Chandran,Anita Chopra,1990,Drama,
Jeene Nahi Doonga,1984,133,Action,5.9,55,Rajkumar Kohli,Dharmendra,Shatrughan Sinha,Raj Babbar,1980,Action,Average (4–6)
Jeene Nahin Doonga,2005,129,Action,7.3,37,Prabhas,Trisha Krishnan,Prakash Raj,Tottempudi Gopichand,2000,Action,Good (6–8)
Jeene Nahin Doongi,2002,145,Action,,,Ramesh U. Lakhiani,Ishrat Ali,Pinky Chinoy,Pooja Dadwal,2000,Action,
Jeeo Aur Jeene Do,1982,129,"Action, Drama",4.8,16,Shyam Ralhan,Jeetendra,Reena Roy,Nutan,1980,Action,Average (4–6)
Jeeo Shaan Se,1997,129,"Comedy, Drama, Romance",5.5,13,Talat Jani,Dharmendra,Reena Roy,Vikas Bhalla,1990,Comedy,Average (4–6)
Jeet,1972,129,"Romance, Drama, Action",4.7,13,Adurthi Subba Rao,Randhir Kapoor,Babita Kapoor,Heena Kausar,1970,Romance,Average (4–6)
Jeet Aur Jeewan,1986,129,Drama,,,Unknown,Unknown,Unknown,Unknown,1980,Drama,
Jeet Hamaari,1983,149,Action,4.8,22,R. Thyagaraajan,Rakesh Roshan,Rajinikanth,Ranjeeta Kaur,1980,Action,Average (4–6)
Jeet Kiski,1952,129,Unknown,,,Vasant Joglekar,Unknown,Unknown,Unknown,1950,Unknown,
Jeet Lengey Jahaan,2012,108,Drama,,,Lalit Bisht,Ravneet Kaur,Nassar Abdulla,Gautam Kurup,2010,Drama,
Jeete Hain Shaan Se,1988,129,"Action, Drama",4.7,131,Kawal Sharma,Mithun Chakraborty,Sanjay Dutt,Govinda,1980,Action,Average (4–6)
Jeete Raho,1949,129,Unknown,,,C.S. Kumar,Master Bhagwan,Unknown,Unknown,1940,Unknown,
Jeetenge Hum,2001,129,Action,5.6,9,Sunil Bohra,Dinyar Contractor,Priya Gill,Gulshan Grover,2000,Action,Average (4–6)
Jeeva,1986,123,"Action, Drama, Music",4.1,55,Raj N. Sippy,Sanjay Dutt,Mandakini,Amjad Khan,1980,Action,Average (4–6)
Jeevan,1944,129,Unknown,,,M. Sadiq,Badri Prasad,Unknown,Unknown,1940,Unknown,
Jeevan Daata,1991,120,Action,3.8,9,Swaroop Kumar,Chunky Panday,Aditya Pancholi,Kimi Katkar,1990,Action,Poor (<4)
Jeevan Dhaara,1982,137,"Family, Drama",6.6,70,Rama Rao Tatineni,Rekha,Amol Palekar,Raj Babbar,1980,Family,Good (6–8)
Jeevan Ek Sanghursh,1990,159,"Drama, Family",4.9,168,Rahul Rawail,Rakhee Gulzar,Anil Kapoor,Madhuri Dixit,1990,Drama,Average (4–6)
Jeevan Jyoti,1976,136,"Drama, Family",6.3,11,Murugan Kumaran,Vijay Arora,Bindiya Goswami,Rakesh Pandey,1970,Drama,Good (6–8)
Jeevan Ki Shatranj,1993,129,"Action, Comedy, Crime",4.6,11,S.A. Chandrashekhar,Mithun Chakraborty,Avtar Gill,Aruna Irani,1990,Action,Average (4–6)
Jeevan Lata,1936,129,Unknown,,,Sarvottam Badami,Bhudo Advani,Sabita Devi,Motilal,1930,Unknown,
Jeevan Mrityu,1970,140,"Drama, Romance, Thriller",7.1,216,Satyen Bose,Dharmendra,Rakhee Gulzar,Ajit,1970,Drama,Good (6–8)
Jeevan Mukt,1977,113,Drama,,,Sudhendu Roy,Mala Jaggi,Girish Karnad,Lakshmi,1970,Drama,
Jeevan Natak,1935,139,Unknown,6.2,12,Debaki Bose,Durga Khote,Rampiary,Alaknanda,1930,Unknown,Good (6–8)
Jeevan Naya,1936,140,Drama,7.3,6,Franz Osten,Devika Rani,Ashok Kumar,Kamta Prasad,1930,Drama,Good (6–8)
Jeevan Prabhat,1937,144,Unknown,,,Franz Osten,Devika Rani,Mumtaz Ali,Kishore Sahu,1930,Unknown,
Jeevan Rekha,1974,129,Drama,,,Nanabhai Bhatt,Tabrez,Farida Jalal,Ajit,1970,Drama,
Jeevan Saathi,1957,129,Drama,,,R.S. Tara,Ashok Kumar,Usha Kiran,Anoop Kumar,1950,Drama,
Jeevan Sandhya,1984,129,Drama,,,Pravin Bhatt,Anupam Kher,Jatin Malhotra,Sangeeta Naik,1980,Drama,
Jeevan Sangeet,1968,138,Drama,,,Arabinda Mukhopadhyay,Anil Chatterjee,Sandhya Roy,Rina Ghosh,1960,Drama,
Jeevan Sangram,1974,129,"Action, Drama",6.8,12,Rajbans Khanna,Shashi Kapoor,Radha Saluja,Jalal Agha,1970,Action,Good (6–8)
Jeevan Sukh,1983,129,Drama,,,Debu Sen,Neelima Azim,Dheeraj Bhattacharya,Dhumal,1980,Drama,
Jeevan Swapna,1946,129,Unknown,,,Naseem Banu,Trilok Kapoor,Unknown,Unknown,1940,Unknown,
Jeevan Yatra,1946,134,Unknown,,,Master Vinayak,Pratima Devi,Nayantara,Baburao Pendharkar,1940,Unknown,
Jeevan Yudh,1997,136,"Action, Drama, Family",5.1,32,Partho Ghosh,Mithun Chakraborty,Atul Agnihotri,Mamta Kulkarni,1990,Action,Average (4–6)
Jeewan Jyoti,1953,129,Drama,6.4,22,Mahesh Kaul,Shammi Kapoor,Shashikala,Leela Mishra,1950,Drama,Good (6–8)
Jeewan Saathi,1988,129,Drama,,,Unknown,Unknown,Unknown,Unknown,1980,Drama,
Jekara Charanva Mein Lagle Paranva,1964,129,Unknown,,,Adarsh,Jagdeep,Jaymala Adarsh,Rajendranath Malhotra,1960,Unknown,
Jersey,2021,129,"Drama, Sport",,,Gowtam Tinnanuri,Shahid Kapoor,Mrunal Thakur,Pankaj Kapur,2020,Drama,
Jethaa,1992,129,Action,,,Dinesh Saxena,Salma Agha,Arjun,Sunil Dhawan,1990,Action,
Jewel Thief,1967,186,"Crime, Drama, Musical",8.0,1771,Vijay Anand,Ashok Kumar,Dev Anand,Vyjayanthimala,1960,Crime,Good (6–8)
Jhakaas!,2018,56,"Comedy, Drama",6.1,11,Anirudh Baboo,Mukund Krishna Kumar Nair,Sangeeth Shobhan,Saraswat Mandarapu,2010,Comedy,Good (6–8)
Jhalak,2008,130,Music,,,Dinesh Chaudhary,Kavita Joshi,Pratap Kumar,Uttar Kumar,2000,Music,
Jhalki,2019,104,Drama,7.2,672,Brahmanand S. Singh,Tanvi Jain,Boman Irani,Tannishtha Chatterjee,2010,Drama,Good (6–8)
Jhamela,2015,75,Biography,,,Santosh Sawant,Ashit Kumar,Unknown,Unknown,2010,Biography,
Jhanada Ooncha Rahe Hamara,1964,129,Drama,,,Unknown,Unknown,Unknown,Unknown,1960,Drama,
Jhanak Jhanak Payal Baaje,1955,143,"Drama, Musical, Romance",6.5,105,Shantaram Rajaram Vankudre,Gopi Krishna,Sandhya,Keshavrao Date,1950,Drama,Good (6–8)
Jhanjaar,1986,129,"Action, Drama, Thriller",3.5,6,Shantaram Rajaram Vankudre,Padmini Kolhapure,Siddharth,Ranjana,1980,Action,Poor (<4)
Jhankaar Beats,2003,143,"Comedy, Music, Romance",7.2,1976,Sujoy Ghosh,Sanjay Suri,Rahul Bose,Juhi Chawla,2000,Comedy,Good (6–8)
Jhankar,1942,129,Unknown,,,Dulari,Unknown,Unknown,Unknown,1940,Unknown,
Jhansi Ki Rani,1953,97,"Biography, Drama, History",6.9,89,Sohrab Modi,Mehtab,Sohrab Modi,Mubarak,1950,Biography,Good (6–8)
Jhansi Ki Rani Laxmibai,2012,140,History,7.1,15,Rajesh Mittal,Tom Alter,Sadashiv Amrapurkar,Arav Chowdharry,2010,History,Good (6–8)
"Jharia, une vie en enfer",2016,52,Documentary,,,Tiane Doan na Champassak,Jean Dubrel,Unknown,Unknown,2010,Documentary,
Jharna,1948,129,Unknown,,,Protima Dasgupta,Begum Para,Unknown,Unknown,1940,Unknown,
Jheel Ke Us Paar,1973,142,"Drama, Romance",7.2,88,Bhappi Sonie,Dharmendra,Mumtaz,Prem Chopra,1970,Drama,Good (6–8)
Jhol,2019,112,"Comedy, Drama",8.2,42,Shakti,Alisha Farrer,Chetan Hansraj,Manisha Kelkar,2010,Comedy,Excellent (8–10)
Jhol Company Public Ltd.,2017,129,Crime,,,Rashid Khan,Ajaz Khan,Jagraj Singh Gooman,Robin Das,2010,Crime,
Jhoola,1962,147,"Drama, Family",5.9,11,K. Shankar,Sunil Dutt,Vyjayanthimala,Pran,1960,Drama,Average (4–6)
Jhoom Barabar Jhoom,2007,138,"Comedy, Drama, Musical",3.7,3043,Shaad Ali,Abhishek Bachchan,Preity Zinta,Bobby Deol,2000,Comedy,Poor (<4)
Jhoom Utha Akash,1973,129,Romance,,,Abhi Bhattacharya,Bharat Bhushan,Laxmi Chhaya,Mohan Choti,1970,Romance,
Jhoota Kahin Ka,1979,129,"Comedy, Drama, Romance",6.8,73,Ravi Tandon,Rishi Kapoor,Neetu Singh,Indrani Mukherjee,1970,Comedy,Good (6–8)
Jhooth Bole Kauwa Kaate,1998,148,"Comedy, Romance",5.7,771,Hrishikesh Mukherjee,Anil Kapoor,Juhi Chawla,Amrish Puri,1990,Comedy,Average (4–6)
Jhootha Hi Sahi,2010,142,"Comedy, Drama, Romance",6.1,1870,Abbas Tyrewala,John Abraham,Paakhi A. Tyrewala,Raghu Ram,2010,Comedy,Good (6–8)
Jhootha Kahin Ka,2019,133,Comedy,4.7,330,Smeep Kang,Rishi Kapoor,Jimmy Sheirgill,Sunny Singh Nijjar,2010,Comedy,Average (4–6)
Jhootha Pyar:The Naked Truth,2001,129,Thriller,,,Unknown,Unknown,Unknown,Unknown,2000,Thriller,
Jhoothi,1985,136,Comedy,6.6,129,Hrishikesh Mukherjee,Rekha,Raj Babbar,Amol Palekar,1980,Comedy,Good (6–8)
Jhoothi Kasmein,1948,129,Unknown,,,Harnam Singh Rawail,Unknown,Unknown,Unknown,1940,Unknown,
Jhoothi Shaan,1991,139,"Action, Drama",4.6,20,Ranjan Bose,Shabana Azmi,Mithun Chakraborty,Poonam Dhillon,1990,Action,Average (4–6)
Jhooti Mohabbat,2005,129,Thriller,,,Unknown,Unknown,Unknown,Unknown,2000,Thriller,
Jhumka,1996,129,Romance,,,Michael Chinappa,Bhavana Prasad,Satish Rai,Suneeta Sethi,1990,Romance,
Jhumke,1946,129,Unknown,,,J.K. Nanda,Gajanan Jagirdar,Lalita Pawar,Satish,1940,Unknown,
Jhumroo,1961,171,"Comedy, Drama, Musical",7.0,539,Shankar Mukherjee,Kishore Kumar,Madhubala,Chanchal,1960,Comedy,Good (6–8)
Jhund,2021,129,"Biography, Drama, Sport",,,Nagraj Manjule,Amitabh Bachchan,Vicky Kadian,Ganesh Deshmukh,2020,Biography,
Jhutha Sach,1984,129,"Drama, Family",6.1,44,Esmayeel Shroff,Dharmendra,Rekha,Amrish Puri,1980,Drama,Good (6–8)
Jhuthi Sharm,1940,129,Unknown,,,Mohan Dayaram Bhavnani,Trilok Kapoor,Unknown,Unknown,1940,Unknown,
Ji Chahta Hai,1964,99,"Drama, Family",5.9,15,Bibhuti Mitra,Joy Mukherjee,Rajshree,Jeevan,1960,Drama,Average (4–6)
Ji Haan,1945,129,Comedy,,,Babubhai Mistry,R.N. Vaidya,Master Bhagwan,Agha,1940,Comedy,
Jia aur Jia,2017,93,Drama,4.4,167,Howard Rosemeyer,Richa Chadha,Kalki Koechlin,Arslan Goni,2010,Drama,Average (4–6)
Jiban Maran,1938,144,"Drama, Romance",5.2,6,Nitin Bose,K.L. Saigal,Leela Desai,Devbala,1930,Drama,Average (4–6)
Jigar,1949,129,Unknown,2.6,28,Master Bhagwan,Master Bhagwan,Unknown,Unknown,1940,Unknown,Poor (<4)
Jigar Baaz,2000,129,Action,,,Ramya Krishnan,Sakshi Shivanand,Unknown,Unknown,2000,Action,
Jigariyaa,2014,142,Drama,4.9,301,Raj Purohit,Harshvardhan Deo,Cherry Mardia,Deepak Chaddha,2010,Drama,Average (4–6)
Jigarwala,1991,132,"Action, Drama",2.5,34,Swaroop Kumar,Anil Kapoor,Tina Ambani,Urmila Bhatt,1990,Action,Poor (<4)
Jigri Dost,1969,154,Drama,6.4,32,Ravikant Nagaich,Jeetendra,Mumtaz,K.N. Singh,1960,Drama,Good (6–8)
Jigyaasa,2006,147,Drama,3.4,263,Faisal Saif,Nassar Abdulla,Rakesh Bedi,Hrishitaa Bhatt,2000,Drama,Poor (<4)
Jihad,2017,144,Drama,8.6,47,Rakesh Parmaar,Farhad Ahmed Dehlvi,Alfeeya Donna,Ahmer Haider,2010,Drama,Excellent (8–10)
Jimmy,2008,129,"Action, Crime, Drama",1.6,249,Raj N. Sippy,Mimoh Chakraborty,Vikas Anand,Rahul Dev,2000,Action,Poor (<4)
Jina Sikho,1946,129,Unknown,,,Baburao Pendharkar,Unknown,Unknown,Unknown,1940,Unknown,
Jio Raja,1949,129,"Action, Comedy",,,Nari Ghadiali,Agha,Prakash,Shanta Patel,1940,Action,
Jis Desh Mein Ganga Rehta Hain,2000,141,"Comedy, Crime, Drama",4.9,1187,Mahesh Manjrekar,Govinda,Sonali Bendre,Rinke Khanna,2000,Comedy,Average (4–6)
Jis Desh Men Ganga Behti Hai,1960,167,"Drama, Musical, Romance",7.4,435,Radhu Karmakar,Raj Kapoor,Padmini,Pran,1960,Drama,Good (6–8)
Jise Tu Kabool Kar Le,1980,120,Romance,,,B.R. Ishara,Shashi Kapoor,Hema Malini,Rakesh Pandey,1980,Romance,
Jism,2003,136,"Drama, Romance, Thriller",5.2,2061,Amit Saxena,Bipasha Basu,John Abraham,Gulshan Grover,2000,Drama,Average (4–6)
Jism 2,2012,130,"Drama, Romance, Thriller",3.0,3290,Pooja Bhatt,Randeep Hooda,Arunoday Singh,Arif Zakaria,2010,Drama,Poor (<4)
Jism 3,,135,Thriller,,,Pooja Bhatt,Unknown,Unknown,Unknown,,Thriller,
Jism Aur Jaan,1991,129,Thriller,,,Kingi,Unknown,Unknown,Unknown,1990,Thriller,
Jism Aur Kamasutra,2003,95,Thriller,,,Reena Kapoor,Yunus Parvez,Unknown,Unknown,2000,Thriller,
Jism Farosh,2005,127,"Action, Drama, Thriller",,,Munir Khan,Rajeev Raj,Rakhi Bajaj,Monica Tripathi,2000,Action,
Jism Ka Rishta,1989,129,Drama,2.9,11,Mahesh Bhatt,Kingi,Haidar Ali,Mohan Choti,1980,Drama,Poor (<4)
Jism Ke Deewane,2004,129,Thriller,,,Shakeela,Unknown,Unknown,Unknown,2000,Thriller,
Jisne Tera Naam Liya,1958,129,Romance,,,Unknown,Unknown,Unknown,Unknown,1950,Romance,
Jitne Door Utne Paas,1960,129,Romance,,,Dharmendra,Pradeep Kumar,Unknown,Unknown,1960,Romance,
Jivan Rahasya,1982,129,Animation,,,Bhimsain,Unknown,Unknown,Unknown,1980,Animation,
Jiya Beqarar Hai,1991,129,Romance,,,Unknown,Unknown,Unknown,Unknown,1990,Romance,
Jiyaala,1998,129,Action,3.2,6,Tipu Khan,Siraj Mustafa Khan,Poonam Jhawer,Aparajita,1990,Action,Poor (<4)
Jiyo Aur Jeene Do,1969,129,Romance,,,Mohan Choti,Helen,Jeevan,Sailesh Kumar,1960,Romance,
Jiyo To Aise Jiyo,1981,129,"Drama, Family",4.3,7,Kanak Mishra,Arun Govil,Debashree Roy,Jayshree Gadkar,1980,Drama,Average (4–6)
Jo Bole So Nihaal,2005,125,"Action, Comedy, Thriller",3.6,646,Rahul Rawail,Sunny Deol,Thomas Tevana,Gary Castro Churchwell,2000,Action,Poor (<4)
Jo Dar Gaya Samjho Mar Gaya,2002,129,Thriller,,,Layakaa,Malini Dandekar,Mohan Joshi,Mushtaq Khan,2000,Thriller,
Jo Dooba So Paar: It's Love in Bihar!,2011,90,"Comedy, Crime, Drama",5.7,71,Praveen Kumar,Anand Tiwari,Rajat Kapoor,Sita Spada,2010,Comedy,Average (4–6)
Jo Hum Chahein,2011,129,"Drama, Romance",4.5,100,Pawan Gill,Sunny Gill,Simran Kaur Mundi,Alyy Khan,2010,Drama,Average (4–6)
Jo Huwa So Bhool Jao,1960,129,Unknown,,,Yeshwant Pethkar,Nalini Chonkar,Raja Gosavi,Nanda,1960,Unknown,
Jo Jeeta Wohi Sikandar,1992,174,"Comedy, Drama, Romance",8.2,22147,Mansoor Khan,Aamir Khan,Ayesha Jhulka,Deepak Tijori,1990,Comedy,Excellent (8–10)
Joda Thath Ka,2020,63,"Comedy, Drama, Family",,,Uttar Kumar,Uttar Kumar,Kavita Joshi,Kanhaiya Baghel,2020,Comedy,
Jodhaa Akbar,2008,213,"Action, Drama, History",7.6,30717,Ashutosh Gowariker,Hrithik Roshan,Aishwarya Rai Bachchan,Sonu Sood,2000,Action,Good (6–8)
Jodi,2007,129,"Action, Thriller",,,Anil Rai Mani,Bhavna Kumar,Anil Rai Mani,Unknown,2000,Action,
Jodi Breakers,2012,127,"Comedy, Musical, Romance",3.5,1116,Ashwini Chaudhary,Bipasha Basu,Helen,Pradeep Kharab,2010,Comedy,Poor (<4)
Jodi Kya Banayi Wah Wah Ramji,2003,129,Comedy,3.8,47,Raman Kumar,Rotem Bar,Rakesh Bedi,Avtar Gill,2000,Comedy,Poor (<4)
Jodi No. 1,2001,140,"Comedy, Romance",5.8,2299,David Dhawan,Sanjay Dutt,Govinda,Twinkle Khanna,2000,Comedy,Average (4–6)
Jodidar,1950,129,Unknown,,,Balwant Bhatt,Unknown,Unknown,Unknown,1950,Unknown,
